Ilokano,English
naimbag nga isasampet,welcome
manong,older brother
manang,older sister
"adi, ading",younger brother/sister
"tatang, itang, tata, papa, daddy, dad",father
"nanang, inang, nana, mama, mommy, mom",mother
"uliteg, tio, angkel, tataubing",uncle
"ikit, tia, anti, nanaubing",aunt
"lilang, lola, lila, inang a baket, apo a baket",grandmother
"lilong, lolo, lilo, tatang a lakay, apo a lakay",grandfather
"barok, balong, ballong",son
"basang, balasang",daughter
"anak, nakko, nakkong",child
domingo,sunday
lunes,monday
martes,tuesday
mierkoles,wednesday
jueves,thursday
viernes,friday
sabado,saturday
"umuna, ala una",1 o'clock
"maikadua, alas dos",2 o'clock
"maikatlo, alas tres",3 o'clock
"maikapat, alas kuatro, alas quatro",4 o'clock
"maikalima, alas singko",5 o'clock
"maikanem, alas sais",6 o'clock
"maikapito, alas siete",7 o'clock
"maikawalo, alas ocho",8 o'clock
"maikasiam, alas nueve",9 o'clock
"maikasangapulo, alas dies",10 o'clock
"maikasangapulo ket maysa, alas onse",11 o'clock
"maikasangapulo ken dua, alas dose",12 o'clock
bigat,morning
agmatuom,12 noon
malem,afternoon
rabii,"night, evening"
naimbag a bigat,good morning
naimbag a rabii,good night
oras,"hour, time"
