2,
Oras ita,Ilokano
morning,bigat
1 o'clock,"umuna, ala una"
2 o'clock,"maikadua, alas dos"
3 o'clock,"maikatlo, alas tres"
4 o'clock,"maikapat, alas kuatro, alas quatro"
5 o'clock,"maikalima, alas singko"
6 o'clock,"maikanem, alas sais"
7 o'clock,"maikapito, alas siete"
8 o'clock,"maikawalo, alas ocho"
9 o'clock,"maikasiam, alas nueve"
10 o'clock,"maikasangapulo, alas dies"
11 o'clock,"maikasangapulo ket maysa, alas onse"
12 o'clock,"maikasangapulo ken dua, alas dose"
12 noon,agmatuom
afternoon,malem
"night, evening",rabii
