,
2,
,
Manokami nga agkakabsat?,Uppat kami nga agkakabsat.
Maikamanoak kadakami nga agkakabsat?,Siak ti kimmot.
Ania ti ubra ni tatangko?,Agmulmulada.
Ubing pay ni tatangko?,Baket metten ni tatangko.
Agub-ubra iti ofisina ni tatangko?,Agub-ubra iti plantasion dita Kunia ni tatangko.
Maestra ni inangko?,Aggigian iti hotel ni nanangko.
Maestra ni manongko a Ramon?,Agrikultor ni manongko a Ramon.
Maestra ni manangko a Meli?,Nars ni manangko a Meli.
Dentista ni manangko a Ferdie?,Agbasbasa pay laeng ni manongko a Ferdie.
Di pay kayat ni nanangko ti agretiro?,Kayaten ni nanangko ti agretiro.
Kayaten ni tatangko ti agretiro?,Kayaten ni tatangko ti agretiro kanonton umay a tawen.
Siak kadi ti inauna?,Siak ti kimmot ket inaundi.
