Ilokano,English
ala,get
ammigat,eat breakfast
angngaldaw,eat lunch
angrabii,eat dinner
awag,call
chat,chat
damag,news
digos,shower or bath
gatang,buy
inum,drink
ipan,bring
kanta,sing
luto,cook
makan,"eat, food"
maneho,drive
mapan iti,going to
maturog,sleep
nagawid,went home
nagbuya,watched
nagdalus,cleaned up
naggitara,played the guitar
naglaba,did the laundry
nagplancha,ironed
nakitienda,went to the market
pagna,walk
pamakan,feed
riing,wake up
rubbuat,wear (clothes)
sangit,cry
sao,speak
simmangpet,arrived
sukat,change (clothes)
surat,write
taray,run
ugas,wash
walis,sweep
