Pre-colonial,Spanish Era,American Colonial Era,Tagalog - Pambansang Wika (1),Pilipino/Filipino - Pambansang Wika (2),Contemporary Ilocano
A,A,A,A,A,A
Ba,B,B,B,B,B
Ka,,,K,,
,"Ca (o, u)",C,,C,C
,"Ce (i, y)",,,,
,CH,CH,,,CH
Da,D,D,,D,D
E,E,E,E,E,E
,F,F,,F,F
Ga,G,G,G,G,"Ga (e, i, o, u)"
,,,,,Ge (e): H-sound (Geronimo)
,,,,,Gi (i): Gil; H-sound (energia)
Ha,H,H,H,H,H
I,I,I,I,I,I
,J,J,,,J
,,K,,K,K
La,L,L,L,L,L
,LL,LL,,,LL
Ma,M,M,M,M,M
Na,N,N,N,N,N
NG,,NG,NG,NG,NG
,Ñ,Ñ,,,Ñ
O,O,O,O,O,O
Pa,P,P,P,P,P
,Q,Q,,Q,Q
Ra,R,R,R,R,R
,RR,RR,,,
Sa,S,S,S,S,S
Ta,T,T,T,T,T
U,U,U,U,U,U
,V,V,,V,V
,W,W,W,W,W
,X,X,,,X
Ya,Y,Y,Y,Y,Y
,Z,Z,,,Z
