Ilokano,English
domingo,sunday
lunes,monday
martes,tuesday
mierkoles,wednesday
jueves,thursday
viernes,friday
sabado,saturday
idi kalman,yesterday
atta nga aldaw,"today, now"
nu bigat,tomorrow
aldaw,day
bigat,morning
agmatuom,12 noon
malem,afternoon
rabii,"night, evening"
lawas,week
bulan,month
tawen,year
segunda,second (time)
minuto,minute
oras,hour
madamdama,later
oras,time
ala una,1 o'clock
alas dos,2 o'clock
alas tres,3 o'clock
alas kuatro,4 o'clock
alas singko,5 o'clock
alas sais,6 o'clock
alas siete,7 o'clock
alas ocho,8 o'clock
alas nueve,9 o'clock
alas dies,10 o'clock
alas onse,11 o'clock
alas dose,12 o'clock
