Ilokano,English
adayo kadi dayta,is it far
adinno ti nakaiyanakam,where were you born
ania a direksion,what direction
ania ti kasangayam,when is your birthday
ania ti naganmo,what is your name
dios ti kumuyog,good bye
ket sika,and you
komusta,hello
komusta ka,how are you
maawatam kadi,do you understand
makasaoka kadi ti inggles,do you speak english
mano,how many
maragsakanak makaam-ammo kenka,i'm pleased to meet you
naimbag a bigat,good morning
naimbag a rabii,good night
naimbag nga isasampet,welcome
nasayaatak met,i'm fine
pagyamanak,thanks
pagyamanak ti tulongmo,thank you for your help
saanak a makasao ti ilokano,i do not speak ilocano
saanko a maawatan,i don't understand
sadino ti,where is
sagmamano,how much
ti naganko ket,my name is
ulitem dayta,repeat it
