Ilokano,English
awan,zero
maysa,one
dua,two
tallo,three
uppat,four
lima,five
innem,six
pito,seven
walo,eight
siam,nine
sangapulo,ten
sangapulo ket maysa,eleven
sangapulo ket dua,twelve
duapulo,twenty
uppat a pulo,forty
limapulo,fifty
innem a pulo,sixty
pitopulo,seventy
walopulo,eighty
siam a pulo,ninety
sangagasut,one hundred
sangaribo,one thousand
sangapulo a ribo,ten thousand
sangagasut a ribo,one hundred thousand
sangariwriw,one million
umuna,first
maikadua,second (place)
maikatlo,third
maikapat,fourth
maikalima,fifth
maikanem,sixth
maikapito,seventh
maikawalo,eighth
maikasiam,ninth
maikasangapulo,tenth
maikasangapulo ket maysa,eleventh
maikasangapulo ket dua,twelfth
