Ilokano,English
gimmatang,bought
naala,got
nagawag,called
nagawid,went home
nagbuya,watched
nagchat,chatted
nagdalus,cleaned up
nagdigos,showered or took a bath
naggitara,played the guitar
naginum,drank
nagkanta,sang
naglaba,did the laundry
nagluto,cooked
nagmaneho,drove
nagna,walked
nagplancha,ironed
nagriing,woke up
nagrubbuat,wore (clothes)
nagsangit,cried
nagsao,spoke
nagsukat,changed (clothes)
nagsurat,wrote
nagtaray,ran
nagugas,washed the dishes
nagwalis,swept
nammigat,ate breakfast
nangngaldaw,ate lunch
nangrabii,ate dinner
napan,went
naturog,slept
nipan,brought
simmangpet,arrived
